Frequency,Field_FFT,Drift_FFT
0.0,1.2906342661267448e-16,9.144239241702516e-17
0.01,1.0,0.6017587483088708
0.02,0.4248324192073665,0.3979473837524809
0.03,6.035374614041472e-17,0.2579667397848711
0.04,0.0853028695746119,0.3297232475779063
0.05,8.398698024368511e-17,0.4161699431035091
0.06,0.03680017370926968,0.6006648266976049
0.07,1.2536874485303399e-17,0.13290679547812517
0.08,0.020634405050846693,1.0
0.09,7.980730804292297e-18,0.6819170519024399
0.1,0.013288314455084924,0.45742182860023683
0.11,4.671004841420498e-17,0.4951734911046241
0.12,0.00933486400065125,0.8136411389814678
0.13,5.511630362201595e-17,0.5709162330470466
0.14,0.006965062967545228,0.5710535996325552
0.15,3.4672165415380376e-17,0.64595874500283
0.16,0.005434056994402761,0.7723759093964297
0.17,2.4717674731130255e-17,0.02762863678543213
0.18,0.00438904679930085,0.9113675881673342
0.19,2.0776345257896284e-17,0.6688398540081163
0.2,0.0036452616806979844,0.27862923459701516
0.21,7.64091952027686e-17,0.9912018904748982
0.22,0.003098297650593259,0.42348199867717806
0.23,2.950458159105177e-17,0.8323957537470392
0.24,0.002685546985108101,0.2989931370190267
0.25,1.8875832159447668e-17,0.39094327714806276
0.26,0.0023676281527362348,0.6570611930251598
0.27,3.3422138886441684e-17,0.11497116500285778
0.28,0.002118781626271519,0.26285413495281523
0.29,8.897596362554581e-17,0.8968942278706146
0.3,0.0019216042565017276,0.0860929118273994
0.31,6.044288607305017e-17,0.7319520473879622
0.32,0.0017640189365010386,0.4724143722157724
0.33,4.0765755346652027e-17,0.1501527091116775
0.34,0.0016374580381008658,0.45754436851481134
0.35000000000000003,5.081011140068426e-17,0.10973781113009512
0.36,0.0015357361449400652,0.346027479468981
0.37,5.085920059380008e-18,0.33156124009529253
0.38,0.0014543297830333884,0.1995669888215283
0.39,2.8905433325130475e-17,0.30820025541575996
0.4,0.0013899059272767858,0.12996285514355813
0.41000000000000003,4.1384557054000905e-18,0.1458421594717562
0.42,0.0013400074766953514,0.6183918161694819
0.43,3.7466866552623547e-17,0.7338694523694106
0.44,0.0013028408514522251,0.6863476601854688
0.45,6.811429147043036e-17,0.2148159358284777
0.46,0.001277132182905011,0.274323602471476
0.47000000000000003,4.5491050683583624e-17,0.4720368732185445
0.48,0.001262031302718647,0.29250923535392104
0.49,8.326672684688675e-18,0.5114192595548912
