Filename,Entropy,StdDev,Kurtosis
HPI_export_20250507_130557_754693.csv,6.283205245992849,3.432520448711312,-1.6027001395597253
HPI_export_20250507_130557_992238.csv,6.005908241646871,3.5430250458114285,-1.6695967596189885
HPI_export_20250507_130558_222253.csv,6.1628554002157285,3.426404178506732,-1.6188657311962602
HPI_export_20250507_130558_471153.csv,6.178141419998517,3.4649720419255905,-1.623531896776263
HPI_export_20250507_130558_714164.csv,6.19687128854711,3.44042096968204,-1.6238176209729573
HPI_export_20250507_130558_938368.csv,6.162187738832194,3.4036376931479864,-1.6252626088515032
HPI_export_20250507_130559_169560.csv,6.143760915861254,3.530922631845162,-1.641058604394918
HPI_export_20250507_130559_413605.csv,6.107693342667265,3.421685287224673,-1.6419254095662235
HPI_export_20250507_130559_642279.csv,6.2277910805548435,3.47437734870776,-1.6451644957447467
HPI_export_20250507_130559_880071.csv,6.102776088367642,3.4967360073634626,-1.6659330068340528
HPI_export_20250507_130600_116373.csv,6.112967093437281,3.4960281471492105,-1.6403718985459124
HPI_export_20250507_130600_364480.csv,6.185721430242822,3.4192616439291355,-1.6397984408791257
HPI_export_20250507_130600_624126.csv,6.15079664528636,3.4426908428866483,-1.6251548299092669
HPI_export_20250507_130600_850096.csv,6.226888309319271,3.441563705575356,-1.635390826099968
HPI_export_20250507_130601_089491.csv,6.139480377317598,3.490044926092694,-1.6378874238993995
HPI_export_20250507_130601_343235.csv,6.182664526488275,3.4886186740126583,-1.644734508829483
HPI_export_20250507_130601_594399.csv,6.030193300889787,3.4238972553813647,-1.6754467931510637
HPI_export_20250507_130601_826563.csv,6.148180153750172,3.4320702535772996,-1.620047338651908
HPI_export_20250507_130602_057069.csv,6.201409440286168,3.4467505198069532,-1.6426967216694883
HPI_export_20250507_130602_282595.csv,6.210012420992785,3.443573484438291,-1.6006888176337182
HPI_export_20250507_130602_504632.csv,6.0842771165555165,3.483932344359657,-1.6690676570909915
