File,Bias_Strength,Entropy,Drift,Max_Info_Force
HPI_export_20250502_103403_152855.csv,0.0,4.44462687563788,0.35662754751744996,0.026
HPI_export_20250502_103404_309100.csv,0.05,4.414999453459578,0.3256946892922449,0.0445
HPI_export_20250502_103405_460675.csv,0.1,4.418040035212302,0.5046513951475569,0.0355
HPI_export_20250502_103406_637484.csv,0.15,4.476669077218774,0.2532742450074553,0.025
HPI_export_20250502_103407_809993.csv,0.2,4.480846184048131,0.48951633540469663,0.045000000000000005
HPI_export_20250502_103408_971791.csv,0.25,4.4572613912328665,0.34891460603811925,0.037
HPI_export_20250502_103410_186295.csv,0.3,4.464904078711438,0.3264283075334796,0.03
HPI_export_20250502_103411_509674.csv,0.35,4.474589814810155,0.3393976097850903,0.036
HPI_export_20250502_103412_699547.csv,0.4,4.450363966468633,0.29262326703268526,0.0345
HPI_export_20250502_103413_924256.csv,0.45,4.468935781339163,0.47539141598803886,0.037
HPI_export_20250502_103415_157735.csv,0.5,4.5148079491503355,0.5101052580875722,0.0305
HPI_export_20250502_103416_369254.csv,0.55,4.506224540610068,0.4661842543664947,0.0315
HPI_export_20250502_103417_555242.csv,0.6,4.4862061419709125,0.36743062925930714,0.0355
HPI_export_20250502_103418_801143.csv,0.65,4.445219976031707,0.4500946627673908,0.0325
HPI_export_20250502_103420_136728.csv,0.7,4.510105151692327,0.3695248730943997,0.029
HPI_export_20250502_103421_478228.csv,0.75,4.515168143720242,0.5253162777751642,0.0285
HPI_export_20250502_103422_793820.csv,0.8,4.488018857143905,0.45464560855560743,0.034999999999999996
HPI_export_20250502_103424_032592.csv,0.85,4.514992761685347,0.5111366494087095,0.0305
HPI_export_20250502_103425_258103.csv,0.9,4.518272506961864,0.4783045817145557,0.03
HPI_export_20250502_103426_535622.csv,0.95,4.509558005887068,0.5501493080834486,0.031
HPI_export_20250502_103427_801580.csv,1.0,4.492751135496882,0.4981905519067882,0.027
HPI_export_20250502_103429_090140.csv,1.05,4.508393515433875,0.3349477533660503,0.028
HPI_export_20250502_103430_335246.csv,1.1,4.469894086328303,0.6290858855995632,0.034
HPI_export_20250502_103431_604107.csv,1.15,4.493393007455897,0.4289482215260004,0.034999999999999996
HPI_export_20250502_103432_821432.csv,1.2,4.5150624329226625,0.470234516907983,0.0385
HPI_export_20250502_103434_021394.csv,1.25,4.544950357512857,0.5261883137491624,0.026999999999999996
HPI_export_20250502_103435_280003.csv,1.3,4.493281926338242,0.47243684982529804,0.032
HPI_export_20250502_103436_494348.csv,1.35,4.4960154697806045,0.2987110203315243,0.0295
HPI_export_20250502_103437_737795.csv,1.4,4.536809529699283,0.669550316465593,0.034999999999999996
HPI_export_20250502_103438_991491.csv,1.45,4.5142263934189435,0.36079589425291814,0.027000000000000003
HPI_export_20250502_103440_269006.csv,1.5,4.560474766451887,0.4938231088464307,0.0265
HPI_export_20250502_103441_532396.csv,1.55,4.545002027907273,0.5417076791027884,0.030999999999999993
HPI_export_20250502_103442_840366.csv,1.6,4.517896587885569,0.36033439007332174,0.0315
HPI_export_20250502_103444_095358.csv,1.65,4.523122871468626,0.36614956555770434,0.032
HPI_export_20250502_103445_289671.csv,1.7,4.5070194426376995,0.33458237882257025,0.061000000000000006
HPI_export_20250502_103446_478124.csv,1.75,4.514756493027828,0.3914859598652963,0.05500000000000001
HPI_export_20250502_103447_667093.csv,1.8,4.513749091762245,0.4930859193054387,0.0245
HPI_export_20250502_103448_847960.csv,1.85,4.575700371600149,0.5693195535621931,0.025
HPI_export_20250502_103450_031343.csv,1.9,4.536294326373199,0.34147243902058194,0.026000000000000002
HPI_export_20250502_103451_190251.csv,1.95,4.5104388757896885,0.46884538829284406,0.036000000000000004
HPI_export_20250502_103452_380343.csv,2.0,4.538476657084601,0.3210703571176005,0.063
