Bin_Center,Probability,Entropy,Drift
-4.077344504432775,0.09980000000000021,2.3455050287954164,0.008771736244881277
-3.9107587132689723,0.12449999999999993,,
-3.7441729221051707,0.1007000000000002,,
-3.577587130941369,0.08719999999999994,,
-3.411001339777567,0.08050000000000015,,
-3.2444155486137656,0.0003000000000000006,,
-3.077829757449964,0.00540000000000001,,
-2.911243966286162,0.0,,
-2.7446581751223604,0.0,,
-2.5780723839585584,0.0,,
-2.411486592794757,0.0,,
-2.2449008016309553,0.0,,
-2.0783150104671533,0.0,,
-1.9117292193033517,0.0,,
-1.74514342813955,0.0,,
-1.5785576369757481,0.0,,
-1.4119718458119466,0.0,,
-1.2453860546481448,0.0,,
-1.078800263484343,0.0,,
-0.9122144723205412,0.0,,
-0.7456286811567394,0.0,,
-0.5790428899929378,0.0,,
-0.41245709882913606,0.0,,
-0.24587130766533427,0.0,,
-0.07928551650153248,0.0,,
0.0873002746622693,0.0,,
0.2538860658260709,0.0,,
0.42047185698987244,0.0,,
0.587057648153674,0.0,,
0.753643439317476,0.0,,
0.920229230481278,0.0,,
1.0868150216450796,0.0,,
1.2534008128088812,0.0,,
1.4199866039726827,0.0,,
1.5865723951364847,0.0,,
1.7531581863002867,0.0,,
1.9197439774640883,0.0,,
2.08632976862789,0.0,,
2.2529155597916914,0.0,,
2.4195013509554935,0.0,,
2.5860871421192955,0.0,,
2.752672933283097,0.0,,
2.9192587244468986,0.0,,
3.0858445156107,0.006200000000000013,,
3.2524303067745017,0.0012000000000000025,,
3.4190160979383037,0.0893999999999997,,
3.5856018891021058,0.08690000000000017,,
3.7521876802659073,0.10180000000000021,,
3.918773471429709,0.12420000000000025,,
4.085359262593512,0.09189999999999922,,
